game,who_won
924,d-yellow
925,h-yellow
926,h-yellow
927,d-red
928,h-yellow
929,h-yellow
930,d-red
931,v-yellow
932,h-yellow
933,h-yellow
934,h-yellow
935,d-red
936,d-red
937,h-red
938,h-red
939,d-red
940,d-yellow
941,h-yellow
942,tie
943,d-red
944,h-yellow
945,h-red
946,v-yellow
947,h-red
948,d-yellow
949,d-yellow
950,h-yellow
951,h-yellow
952,d-yellow
953,h-red
954,d-yellow
955,h-red
956,h-red
957,h-red
958,v-red
959,h-yellow
960,d-red
961,d-red
962,d-red
963,d-yellow
964,h-red
965,d-red
966,d-red
967,h-yellow
968,v-yellow
969,d-red
970,d-yellow
971,v-yellow
972,d-red
973,v-red
974,h-red
975,tie
976,d-yellow
977,d-yellow
978,h-red
979,v-red
980,d-red
981,d-red
982,h-yellow
983,d-red
984,d-red
985,h-red
986,h-yellow
987,h-yellow
988,d-red
989,h-red
990,d-yellow
991,h-yellow
992,d-red
993,h-red
994,h-red
995,h-red
996,h-red
997,d-red
998,h-yellow
999,tie
1000,h-yellow
1001,h-yellow
1002,h-yellow
1003,d-yellow
1004,h-red
1005,h-red
1006,h-yellow
1007,h-red
1008,d-red
1009,v-red
1010,h-yellow
1011,h-red
1012,v-yellow
1013,tie
1014,d-red
1015,d-red
1016,d-red
1017,h-red
1018,h-red
1019,d-yellow
1020,d-yellow
1021,v-red
1022,h-yellow
1023,d-red
1024,h-yellow
1025,h-yellow
1026,d-yellow
1027,d-red
1028,h-yellow
1029,h-yellow
1030,h-yellow
1031,v-yellow
1032,h-red
1033,v-yellow
1034,d-red
1035,d-yellow
1036,d-red
1037,h-yellow
1038,h-red
1039,h-red
1040,h-red
1041,h-yellow
1042,h-yellow
1043,d-yellow
1044,h-yellow
1045,tie
1046,h-yellow
1047,d-red
1048,d-yellow
1049,h-red
1050,h-red
1051,d-yellow
1052,d-yellow
1053,h-yellow
1054,h-red
1055,v-red
1056,h-red
1057,h-red
1058,h-yellow
1059,d-red
1060,h-yellow
1061,h-red
1062,h-red
1063,d-red
1064,h-yellow
1065,d-red
1066,d-red
1067,v-yellow
1068,d-yellow
1069,d-red
1070,h-red
1071,d-yellow
1072,d-red
1073,tie
1074,h-yellow
1075,h-yellow
1076,d-red
1077,h-yellow
1078,d-yellow
1079,h-red
1080,d-red
1081,d-red
